company_name,email,profile_url,source
나스미디어,,https://www.nasmedia.co.kr/,list_page
씨제이메조미디어,mezzoad@cj.net,https://cjmezzomedia.com/,company_site
코마스인터렉티브,webmaster@icomas.co.kr,http://comasinteractive.com,company_site
엠포스,,http://www.emforce.co.kr/,list_page
디트라이브,,https://www.dtribe.co.kr/main.php,list_page
크로스미디어,,http://www.crossmedia.co.kr/,list_page
다츠,ps@dartz.com,http://www.dartz.com/,company_site
리서치애드,,http://www.researchad.com/,list_page
네이트커뮤니케이션즈,,https://www.natecorp.com/,list_page
인크로스,,https://www.incross.com/,list_page
카카오,,https://www.kakaocorp.com/page/,list_page
이엠넷,webmaster@emnet.co.kr,https://www.emnet.co.kr/,company_site
나무커뮤니케이션,,http://www.namukorea.com/renew/index.php,list_page
판도라TV,,http://www.pandora.tv/,list_page
제이슨그룹,,https://jasongroup.co.kr/index.html,list_page
네이버,,https://www.navercorp.com/,list_page
벡터컴,i-kwon@vectorcom.co.kr,http://www.vectorcom.co.kr/,company_site
에이전시더블유,AW_master@agencyw.com,https://www.agencyw.com/,company_site
펜타브리드,,https://www.pentabreed.com/,list_page
숲숲,,https://corp.sooplive.co.kr/,list_page
인터웍스미디어,,https://www.interworksmedia.co.kr/,list_page
플레이디,master@playd.com,https://www.playd.com/w/index.html,company_site
하나애드IMC,mkt1@hanaad.net,http://www.hanaad.net/,company_site
다트미디어,,http://www.dartmedia.co.kr/,list_page
차이커뮤니케이션,,http://www.artistchai.co.kr/,list_page
유어비즈,ap@yourbiz.co.kr,http://www.yourbiz.co.kr/#self,company_site
디지털다임,henry.jin@d2.co.kr,http://www.d2.co.kr/,company_site
마더브레인,,http://www.motherbrain.co.kr/web_main.jsp,list_page
비욘드마케팅그룹,help@beyondmarketing.co.kr,http://www.beyondmarketing.co.kr/,company_site
애드미션,Info@admission.co.kr,https://www.admission.co.kr,company_site
애드쿠아인터렉티브,,https://www.adqua.co.kr,list_page
이너스커뮤니티,ad@inuscomm.co.kr,http://www.inuscomm.co.kr/,company_site
퍼틸레인,gamemkt@fertilerains.com,http://www.fertilerains.com/,company_site
크리테오,,https://www.criteo.com/kr/?utm_source=google&utm_medium=cpc&utm_campaign=kr&gclid=CjwKCAiAvaGRBhBlEiwAiY-yMJr-kZY4LjDGtUhTYlzqjPsdtbcP5ROvIdGC21xBeCdjwDOrJyT5kBoCPBsQAvD_BwE,list_page
수커뮤니케이션,marketer@susucomm.co.kr,http://susucomm.com/,company_site
키스톤마케팅컴퍼니,keystone@keystonemc.com,http://www.keystonemc.com/html/,company_site
메타,,https://www.facebook.com/,list_page
구글코리아,,https://www.google.com/,list_page
엔에이치엔애드(NHN애드),,https://www.nhnad.com/,list_page
엔비티,sales@nbt.com,https://nbt.com/,company_site
비즈스프링,sales@bizspring.co.kr,https://bizspring.co.kr/company/,company_site
미래I&C,km.kyung@toup.net,http://toup.net,company_site
아이디어키,info@ideakey.co.kr,http://www.ideakey.co.kr,company_site
아이애드원,steve4362@iadone.co.kr,http://www.iadone.co.kr/,company_site
애드게이트,good1500@adgate.kr,http://adgate.kr/,company_site
엠피인터랙티브,candyman@mymp.co.kr,http://mpinteractive.co.kr/,company_site
예지솔루션,abcdef@naver.com,http://www.ye-ji.com/,company_site
이레컴즈,,http://www.7daycomz.co.kr/,list_page
이프로애드,jo.kim@eproad.com,https://eproad.com,company_site
카페24,echosting@cafe24corp.com,https://www.cafe24.com/,company_site
트리플하이엠,biz@liquidthemes.com,http://www.hmcorp.co.kr,company_site
엔에이치엔에이스,atx@nhnace.com,http://www.nhnace.co.kr/,company_site
프로그레스미디어,gentleman89@my-progress.co.kr,https://www.roas-expert.com/,company_site
디지털트리니티,,https://www.digitaltrinity.co.kr/about,list_page
디티에스아이,cm@dtsi.co.kr,http://www.dtsi.co.kr,company_site
엠투디지털,,http://www.m2digital.co.kr/,list_page
제일기획,,http://cheil.com/,list_page
버즈빌,,https://www.buzzvil.com/ko,list_page
펜타클,,http://www.pentacle.co.kr,list_page
게티이미지코리아,,http://www.gettyimages.co.kr/,list_page
바이너리큐브,ad@binarycube.co.kr,http://binarycube.co.kr/,company_site
이인벤션,,http://www.einvention.co.kr,list_page
모비데이즈,support@mobidays.com,http://www.mobidays.com/,company_site
모티브 인텔리전스,,http://www.onnuridmc.com/#mainMenu,list_page
아티스트유나이티드,wpmanager@artistcompany.co.kr,https://artistunited.com/,company_site
베리타스커넥트,,http://www.veritasmedia.co.kr/,list_page
디퍼플,,http://www.d-purple.co.kr,list_page
에이치에스애드(HS애드),hsadofficial@hsad.co.kr,https://www.hsad.co.kr/kor/main,company_site
디지털퍼스트,,http://www.dfirst-inc.com/,list_page
블루오렌지커뮤니케이션즈,,http://www.blorange.co.kr/,list_page
아인스미디어,,http://einsmedia.co.kr/,list_page
인라이플,enliple@enliple.com,http://enliple.com/,company_site
디엑스이,dxe_home@cj.net,http://dxe.co.kr/,company_site
휴먼미디어그룹,humanmediagroup@naver.com,https://www.humanmedia.kr/,company_site
픽스다인엠,marketing@pixdine-m.com,http://www.pixdine-m.com/,company_site
애드이피션시,contact@adef.co.kr,http://www.adef.co.kr/,company_site
제이브릿지마케팅컴퍼니,inquiry@jbmc.co.kr,http://www.jbmc.co.kr/,company_site
더에스엠씨,info@thesmc.co.kr,https://thesmc.co.kr,company_site
씨더블유,,http://cwl.co.kr/,list_page
엣지랭크,edgerank@edgerank.co.kr,https://edgerank.co.kr/,company_site
애니포인트미디어,global@anypointmedia.com,https://www.anypointmedia.com/,company_site
에이엠피엠글로벌,ampmglobal@ampm.co.kr,http://www.ampm.co.kr/,company_site
와일리,wylie@wylie.co.kr,https://wylie.co.kr/,company_site
아이지에이웍스,,http://igaworks.com/ko/index.html,list_page
넥스트미디어그룹,business@nextmediagroup.co.kr,http://nextmediagroup.co.kr/,company_site
퍼포먼스바이TBWA,recruit@ptbwa.com,https://www.ptbwa.com/,company_site
오피엠에스,ad@opms.co.kr,http://opms.co.kr/,company_site
망고스타코리아,,https://www.mangostarkorea.com/,list_page
위시미디어,wishmedia@wishmedia.co.kr,https://wishmedia.co.kr/,company_site
티디아이플레이,,https://tdiads.com/,list_page
에이원퍼포먼스팩토리,info@a1mediagroup.co.kr,https://www.perfact.co.kr/,company_site
젤리피쉬코리아,london@jellyfish.com,https://www.jellyfish.com/en-kr,company_site
드림인사이트,dream@bydream.co.kr,https://bydream.co.kr/,company_site
그랑몬스터,contact@gmonster.co.kr,http://www.gmonster.co.kr/renewal/#home,company_site
엠플랜잇,mplanit@mplanit.co.kr,https://www.mplanit.co.kr/,company_site
이스터씨앤아이,,http://www.easter.co.kr/,list_page
함샤우트글로벌,hsg@hahmshoutg.com,https://hahmshout-global.com/,company_site
엘지CNS,inquiry@lgcns.com,https://www.lgcns.com/,company_site
이엠씨지,4u@emcg.co.kr,http://emcg.co.kr/,company_site
인테그럴 애드 사이언스,,https://integralads.com/,list_page
온더플래닛,hello@ontheplanet.co.kr,https://www.ontheplanet.co.kr/,company_site
애드온컴퍼니,ad@adoncom.co.kr,http://www.adoncom.co.kr/,company_site
위플랫폼,,http://www.weplatform.kr/new/,list_page
볼디,,http://boldi.co.kr/,list_page
그루컴퍼니,ad@grucompany.co.kr,http://www.grucompany.co.kr/,company_site
스파클인터렉티브,support@sparkleinteractive.co.kr,https://www.sparkleinteractive.co.kr/,company_site
봄센,bomsen@bomsen.co.kr,https://www.bomsen.co.kr/,company_site
미래PMP,,http://www.miraepmp.com/,list_page
크리에이터링,creatoroo@creatoroo.com,https://creatoroo.com/,company_site
매드업,,https://madup.com/,list_page
생각하는늑대,contact@thinkingwolf.co.kr,https://thinkingwolf.co.kr/,company_site
페리온,,http://www.hivestack.com/kr,list_page
와이즈버즈,contact@wisebirds.jp,https://www.wisebirds.co/,company_site
오버맨,,http://www.overman.kr,list_page
리머지,info@remerge.io,https://www.remerge.io/ko/executions,company_site
디플랜360,,https://d-plan360.com/,list_page
스타디엠코퍼레이션,stardmcop@naver.com,https://stardm-corporation.com/,company_site
디뉴먼트,contact@beaverunion.com,http://www.dinewment.com/,company_site
피알원,admin@prone.co.kr,http://www.prone.co.kr/,company_site
에이디쏠인터렉티브,,http://www.a-dsol.co.kr/,list_page
토이306,,https://toy306.com/,list_page
코비그룹,,https://www.covi.co.kr/,list_page
프레인글로벌,hr@prain.com,http://www.prain.com/v2/pages/,company_site
엠코퍼레이션,contact@mcorpor.com,https://mcorpor.com/,company_site
틱톡,,https://getstarted.tiktok.com/,list_page
티엠씨케이,contact@tmck.co.kr,https://www.tmck.co.kr/main,company_site
케이피알앤드어소시에이츠,,http://www.kpr.co.kr,list_page
매드코퍼레이션,contact@madcorp.co.kr,http://www.madcorp.co.kr/,company_site
아치서울,,http://www.gongbbu.com,list_page
이노션,,http://www.innocean.com/ww-ko/,list_page
비바리퍼블리카,partnership@toss.im,https://toss.im/,company_site
비에이티,contact@batcrew.co.kr,https://batcrew.co.kr/ko/,company_site
더쏠트,,https://the-salt.co.kr/,list_page
크로마엔터테인먼트,admin@kroma.co.kr,https://www.kroma.co.kr/,company_site
나인독,,https://www.frontpay.co.kr/,list_page
함파트너스,info@hahmpartners.com,https://hahmpartners.com/,company_site
